自增ID,租户ID,资产ID,智能耳标编号,入栏批次，建议使用 yyyyMMdd 格式的日期开头,死亡类型,死亡日期,死亡时月龄,备注,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
6,1,120,MK2210000009,,1,2023-03-07,10,突发,17,付勇彬,1,2023-04-13 10:00:47,17.0,付勇彬,2023-04-13 10:04:46,0
7,1,135,MK2210000024,,1,2023-01-25,10,肚子涨不拉，胃里吃了绳子及塑料,17,付勇彬,1,2023-04-13 10:02:43,17.0,付勇彬,2023-04-13 10:05:23,0
8,4,3542,202310051321,,1,2024-01-06,17,,15,付勇斌,6,2024-01-22 17:10:21,15.0,付勇斌,2024-03-05 11:11:54,0
9,4,3830,2210000486,2024-04-23,1,2024-06-04,8,口蹄体质太弱,15,付勇斌,6,2024-07-05 15:55:42,,,,0
10,4,3795,2210000451,2024-04-23,1,2024-08-17,8,口蹄体弱,15,付勇斌,6,2024-10-12 16:03:45,,,,0
11,4,3817,2210000473,2024-04-23,1,2024-08-01,8,口蹄体弱,15,付勇斌,6,2024-10-12 16:04:42,,,,0
12,4,3770,2210000426,2024-04-23,1,2024-09-21,8,体弱,15,付勇斌,6,2024-10-12 16:06:32,,,,0
