代理主键,租户ID,精料配方编码，租户下唯一,精料配方名称,精料配方总重，单位：千克,启用标识符。0停用，1启用,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态，预留。默认为 0
8,4,20250512114149,育肥牛,1029,0,15,付勇斌,6,2025-05-12 11:41:49,15.0,付勇斌,2025-05-12 11:42:07,1
9,4,20250512114442,育肥牛202504,1029,1,15,付勇斌,6,2025-05-12 11:44:42,,,,1
10,4,20250526163058,盘亏202504,360,0,15,付勇斌,6,2025-05-26 16:30:59,15.0,付勇斌,2025-05-26 17:05:16,1
