代理主键,租户ID,喂养分组ID,喂养分组名称，冗余,精料配方名称，冗余,喂养开始时间,喂养结束时间,精料喂养总量，单位：千克,草料喂养总量，单位：千克,酒糟喂养总量，单位：千克,资产天,执行状态,成本计算,处理失败的提示信息,库存扣减失败的提示信息,喂养开始时间.1,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态，预留。默认为 0
13,4,7,大牛20250401,育肥牛202504,2025-04-01,2025-04-30,20400,6300,31400,3112.0,3,1,,,20250512163159,15,付勇斌,6,2025-05-12 16:31:59,15,付勇斌,2025-05-12 17:30:14,1
15,4,7,大牛20250401,盘亏202504,2025-04-09,2025-04-16,360,0,0,,4,0,饲养分组内的部分资产出现投喂日期重叠（请检查）,,20250526163643,34,王建东,6,2025-05-26 16:36:44,34,王建东,2025-05-26 16:36:58,1
16,4,7,大牛20250401,育肥牛202504,2025-05-01,2025-05-31,19000,5100,25900,2761.0,3,1,,,20250603152556,15,付勇斌,6,2025-06-03 15:25:57,15,付勇斌,2025-06-03 15:28:31,1
