自增ID,租户ID,资产ID,智能耳标编号,记录日期,记录人,资产月龄,资产体重,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
20,4,3477,202310051256,2023-08-20,付勇斌,14.0,525.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
21,4,3478,202310051257,2023-08-20,付勇斌,14.0,498.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
22,4,3479,202310051258,2023-08-20,付勇斌,14.0,481.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
23,4,3480,202310051259,2023-08-20,付勇斌,14.0,474.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
24,4,3481,202310051260,2023-08-20,付勇斌,14.0,495.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
25,4,3482,202310051261,2023-08-20,付勇斌,14.0,517.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
26,4,3483,202310051262,2023-08-20,付勇斌,14.0,464.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
27,4,3484,202310051263,2023-08-20,付勇斌,14.0,437.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
28,4,3485,202310051264,2023-08-20,付勇斌,14.0,459.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
29,4,3486,202310051265,2023-08-20,付勇斌,14.0,447.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
30,4,3487,202310051266,2023-08-20,付勇斌,14.0,525.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
31,4,3488,202310051267,2023-08-20,付勇斌,14.0,449.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
32,4,3489,202310051268,2023-08-20,付勇斌,14.0,534.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
33,4,3490,202310051269,2023-08-20,付勇斌,14.0,491.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:26,0
34,4,3491,202310051270,2023-08-20,付勇斌,14.0,516.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:26,0
35,4,3492,202310051271,2023-08-20,付勇斌,14.0,475.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:26,0
36,4,3493,202310051272,2023-08-20,付勇斌,14.0,491.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:26,0
37,4,3494,202310051273,2023-08-20,付勇斌,14.0,495.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:26,0
38,4,3495,202310051274,2023-08-20,付勇斌,14.0,468.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:26,0
